name,capacity,latitude,longitude
E 40 St & Park Ave,87,40.750756,-73.978326
Boston Rd & Prospect Ave,19,40.833246,-73.896599
Central Ave & Starr Street,23,40.700003,-73.92834
E 78 St & 2 Ave,25,40.7727966,-73.95577801
Green St & McGuinness Blvd,20,40.73396,-73.95204
Stanton St & Mangin St,19,40.71782143,-73.97628939
Lafayette Ave & Hunts Point Ave,22,40.816567,-73.888161
St James Pl & Pearl St,27,40.71117416,-74.00016545
5 Ave & W 131 St,20,40.81014,-73.93973
Bushwick Ave & Stagg St,21,40.709897,-73.94008
E 163 St & Tiffany St,19,40.821075,-73.895069
52 St & 6 Ave,19,40.642703,-74.009441
Macombs Rd & W 175 St,20,40.848177,-73.916082
Willoughby Ave & Myrtle Ave,19,40.69757,-73.93098
Convent Ave & W 135 St,30,40.818215,-73.950988
Atlantic Ave & Furman St,37,40.69165183,-73.9999786
W 100 St & Broadway,39,40.7973721,-73.97041192
Amsterdam Ave & W 186 St,21,40.851113,-73.928808
Broadway & Morris St,69,40.705945132708806,-74.01321887969969
Pacific St & Utica Ave,20,40.6767,-73.93051
64 St & 51 Ave,19,40.73577,-73.90184
Greene Ave & Nostrand Ave,23,40.6883337,-73.950916
W 67 St & Broadway,31,40.77492513,-73.98266566
Amsterdam Ave & W 156 St,27,40.832081,-73.942386
E 106 St & Madison Ave,25,40.7934337,-73.94945003
Cooper Ave & 65 Pl,23,40.69953,-73.88873
46 St & 28 Ave,19,40.763328,-73.908782
Henry St & Bay St,19,40.6725058,-74.00494695
W Tremont Ave & Montgomery Ave,21,40.851788,-73.916418
Madison Ave & E 99 St,35,40.78948541553215,-73.95242929458618
Fulton Ave & St. Paul's Pl,19,40.83545,-73.90153
Jerome Ave & Anderson Ave,19,40.830179,-73.928747
Anthony Ave & E 175 St,19,40.846465,-73.903869
Devoe St & Morgan Ave,19,40.713811,-73.93515
Macon St & Nostrand Ave,24,40.6809833854,-73.9500479759
Sheridan Ave & E 168 St,22,40.835334,-73.9154
Longfellow Ave & Aldus St,24,40.82319448542357,-73.88762910982096
Madison St & Evergreen Ave,18,40.69122,-73.91693
Clinton St & 4 Place,25,40.6783563,-74.00014502
Steinway St & Broadway,32,40.75905795418586,-73.91897544264793
35 St & 23 Ave,28,40.77301508291382,-73.91119033098221
60 Ave & Fresh Pond Rd,19,40.71693,-73.90198
Dyckman St & Staff St,19,40.868846,-73.931537
E 15 St & 3 Ave,78,40.734232,-73.986923
Jerome Ave & W Fordham Rd,24,40.86294,-73.90108
3 Ave & E 169 St,21,40.832678,-73.905158
Lexington Ave & E 24 St,79,40.74025878,-73.98409214
E Tremont Ave & E 176 St,21,40.847798,-73.901883
E 144 St & Brook Ave,19,40.811675,-73.917037
Barrow St & Hudson St,45,40.73172428,-74.00674436
River Ave & E 153 St,27,40.82441,-73.92818
Calyer St & West St,35,40.72693,-73.95863
Franklin St & Dupont St,27,40.73564,-73.95866
Columbia Heights & Cranberry St,37,40.70037867,-73.99548059
3 St & Hoyt St,53,40.6777287,-73.99364123
MacDougal St & Washington Sq,33,40.73226398,-73.99852205
Broadway & Ellwood St,19,40.862058,-73.929719
W 37 St & 10 Ave,39,40.75660359,-73.9979009
Willoughby Ave & Tompkins Ave,19,40.69425403,-73.94626915
63 St & 59 Dr,23,40.71832,-73.90128
Broadway & W 165 St,24,40.839137,-73.941409
Cauldwell Ave & E 158 St,19,40.81989,-73.908351
Grove St & Broadway,31,40.69047,-73.923511
Shakespeare Ave & W 169 St,20,40.839312,-73.922423
4 Ave & Shore Road Dr,20,40.637033,-74.022141
Sterling St & Nostrand Ave,27,40.66318,-73.95076
E New York Ave & Troy Ave,21,40.66227,-73.93762
21 St & Hoyt Ave S,33,40.774645,-73.923706
Carlton Ave & St Marks Ave,27,40.67911856082165,-73.97176265716553
Kingsland Ave & Nassau Ave,25,40.72577,-73.94173
56 Dr & 59 St,19,40.72403,-73.90853
Wilson Ave & Troutman St,26,40.70166,-73.92754
Winthrop St & Schenectady Ave,21,40.65808,-73.93415
Nassau Ave & Newell St,51,40.724812564400175,-73.94752621650696
Grand Concourse & E 161 St,27,40.82713380423556,-73.9227358996868
Parkside Ave & Flatbush Ave,25,40.65563,-73.95968
W 35 St & 8 Ave,57,40.752762088742045,-73.99280458705107
Rutland Rd & E 45 St,23,40.66034,-73.93618
Morris Ave & E 153 St,19,40.820036,-73.921411
Berry St & N 8 St,27,40.7190095,-73.95852515
E 171 St & Webster Ave,20,40.838379,-73.905838
Carroll St & Utica Ave,20,40.66619,-73.93162
17 St & 5 Ave,25,40.663493,-73.991007
W 190 St & Broadway,21,40.85648733523576,-73.93296986818314
Greenwich Ave & Charles St,57,40.735238,-74.000271
Broadway & W 138 St,27,40.82182,-73.95353
Park Ave & E 124 St,36,40.8045555,-73.9396861
Barry St & Tiffany St,19,40.816126,-73.891559
N Henry St & Norman Ave,29,40.7277,-73.94395
Alexander Ave & E 134 St,19,40.807466,-73.927107
Madison St & Seneca Ave,22,40.70183,-73.90625
E 6 St & Avenue B,67,40.72453734,-73.98185424
E 170 St & Sheridan Ave,30,40.838315,-73.912604
W 26 St & 10 Ave,51,40.749717753,-74.002950346
E 98 St & Park Ave,25,40.78813,-73.95206
Seneca Ave & Irvine St,19,40.81872569990116,-73.88862490653992
Eastern Pkwy & Franklin Ave,42,40.6707767,-73.9576801
Sedgwick Ave & W Tremont Ave,19,40.85304455868985,-73.91830623149872
Lexington Ave & E 127 St,33,40.805726,-73.936322
Sterling Pl & New York Ave,25,40.67234,-73.94763
Steinway St & 19 Ave,21,40.778089,-73.899558
Amsterdam Ave & W 175 St,23,40.844044,-73.933651
Montrose Ave & Bushwick Ave,42,40.70767788,-73.94016171
Duane St & Hudson St,44,40.71703,-74.00925
Meserole Ave & Manhattan Ave,28,40.72708584,-73.95299117
Thomas S. Boyland St & Macon St,21,40.68491,-73.91493
E 20 St & Park Ave,45,40.73827428,-73.98751968
Railroad Ave & Kay Ave,30,40.70514807698391,-73.97078096866608
51 Ave & 61 St,19,40.73568,-73.90387
E 106 St & Lexington Ave,27,40.791976,-73.945993
3 St & Prospect Park West,31,40.668132,-73.97363831
41 Ave & 67 St,20,40.74446,-73.89764
Bushwick Ave & Dekalb Ave,25,40.69502,-73.92825
Lewis Ave & Decatur St,19,40.6814598,-73.934903
E 14 St & Avenue B,43,40.72938685,-73.97772429
Dean St & Rockaway Ave,21,40.67486,-73.91123
9 Ave & W 204 St,24,40.86169883507865,-73.91855701804161
Grand Ave & 58 Ave,20,40.72098,-73.90701
Decatur Ave & Bedford Park Blvd,20,40.86813,-73.88412
7 St & 5 Ave,27,40.6704922,-73.98541675
Brook Ave & E 141 St,19,40.809619,-73.917875
W 163 St & Riverside Dr,19,40.839278,-73.945446
Warren St & W Broadway,71,40.71473993,-74.00910627
Sedgwick Ave & Hall of Fame Tce,19,40.859532,-73.913303
Division Ave & Marcy Ave,33,40.70708701,-73.95796783
Nassau Ave & Russell St,51,40.72557,-73.94434
Sherman Ave & Thayer St,21,40.863124,-73.926994
Eastern Pkwy & Ralph Ave,21,40.66852,-73.92284
65 St & Broadway,18,40.749372273899596,-73.89738768339157
Herkimer St & Eastern Pkwy,20,40.67738,-73.90829
Fulton St & Saratoga Ave,19,40.67853,-73.91642
14 St & 7 Ave,24,40.663779,-73.98396846
E 85 St & York Ave,47,40.77536905,-73.94803392
Home St & Westchester Ave,21,40.827629,-73.886659
Morris Ave & E 163 St,21,40.827230499624726,-73.91765579597632
Prospect Pl & Nostrand Ave,22,40.67428,-73.9503
Woodward Ave & Harman St,19,40.70793,-73.91092
Richardson St & N Henry St,25,40.71907891179564,-73.94223690032959
W 21 St & 6 Ave,74,40.74173969,-73.99415556
Westchester Ave & E 156 St,23,40.817802,-73.905203
Stanhope St & Fairview Ave,17,40.70998,-73.91116
Convent Ave & W 151 St,24,40.82831,-73.942924
E 93 St & 2 Ave,73,40.782454175279874,-73.9489196240902
Broad St & Bridge St,49,40.70365182,-74.01167797
West Thames St,73,40.70834698,-74.01713445
44 St & 3 Ave,23,40.651173,-74.011405
Mount Eden Pkwy & Eastburn Ave,19,40.842675,-73.908544
Broadway & W 38 St,68,40.7529728216068,-73.98734897375107
Adam Clayton Powell Blvd & W 126 St,33,40.809495347779475,-73.94776493310928
E 56 St & Madison Ave,33,40.761573,-73.972628
W 25 St & 8 Ave,66,40.74649996333341,-73.99732626293645
41 St & 3 Ave,19,40.652512,-74.008906
Riverside Dr & W 148 St,22,40.829114,-73.950426
63 St & Borden Ave,21,40.72655,-73.90321
Stagg St & Morgan Ave,23,40.710681,-73.93372
E 7 St & Avenue A,45,40.72621788,-73.98379855
35 St & 30 Ave,29,40.76547569244953,-73.91811579465866
34 Ave & 13 St,19,40.7638753,-73.9364848
Wolcott St & Dwight St,21,40.6753274,-74.0100698
West End Ave & W 94 St,31,40.7941654,-73.974124
2 Ave & 43 St,19,40.65292829363811,-74.01286482810974
56 Dr & 61 St,19,40.72368,-73.90458
W 171 St & St. Nicholas Ave,31,40.842941,-73.938631
Van Sinderen Ave & Truxton St,23,40.6786,-73.90369
Johnson St & Brooklyn Bridge Blvd,34,40.695,-73.98917
